date,crop,market,price
2020-01-01,wheat,Delhi,2000
2020-01-01,wheat,Kochi,1960
2020-01-01,wheat,Chennai,1960
2020-01-01,wheat,Ludhiana,1960
2020-01-01,rice,Delhi,2600
2020-01-01,rice,Kochi,2548
2020-01-01,rice,Chennai,2548
2020-01-01,rice,Ludhiana,2548
2020-01-01,maize,Delhi,1400
2020-01-01,maize,Kochi,1372
2020-01-01,maize,Chennai,1372
2020-01-01,maize,Ludhiana,1372
2020-01-01,gram,Delhi,3800
2020-01-01,gram,Kochi,3724
2020-01-01,gram,Chennai,3724
2020-01-01,gram,Ludhiana,3724
2020-01-01,cotton,Delhi,5500
2020-01-01,cotton,Kochi,5390
2020-01-01,cotton,Chennai,5390
2020-01-01,cotton,Ludhiana,5390
2020-01-01,soybean,Delhi,3200
2020-01-01,soybean,Kochi,3136
2020-01-01,soybean,Chennai,3136
2020-01-01,soybean,Ludhiana,3136
2020-01-01,groundnut,Delhi,4000
2020-01-01,groundnut,Kochi,3920
2020-01-01,groundnut,Chennai,3920
2020-01-01,groundnut,Ludhiana,3920
2020-01-01,mustard,Delhi,3500
2020-01-01,mustard,Kochi,3430
2020-01-01,mustard,Chennai,3430
2020-01-01,mustard,Ludhiana,3430
2020-01-01,coconut,Delhi,2300
2020-01-01,coconut,Kochi,2530
2020-01-01,coconut,Chennai,2254
2020-01-01,coconut,Ludhiana,2254
2020-01-01,rubber,Delhi,14000
2020-01-01,rubber,Kochi,15400
2020-01-01,rubber,Chennai,13720
2020-01-01,rubber,Ludhiana,13720
2020-01-01,pepper,Delhi,48000
2020-01-01,pepper,Kochi,52800
2020-01-01,pepper,Chennai,47040
2020-01-01,pepper,Ludhiana,47040
2020-01-01,cardamom,Delhi,85000
2020-01-01,cardamom,Kochi,93500
2020-01-01,cardamom,Chennai,83300
2020-01-01,cardamom,Ludhiana,83300
2020-01-01,banana,Delhi,2000
2020-01-01,banana,Kochi,1960
2020-01-01,banana,Chennai,1960
2020-01-01,banana,Ludhiana,1960
2020-01-01,tapioca,Delhi,1500
2020-01-01,tapioca,Kochi,1470
2020-01-01,tapioca,Chennai,1470
2020-01-01,tapioca,Ludhiana,1470
2020-01-01,turmeric,Delhi,6000
2020-01-01,turmeric,Kochi,5880
2020-01-01,turmeric,Chennai,6300
2020-01-01,turmeric,Ludhiana,5880
2020-02-01,wheat,Delhi,2000
2020-02-01,wheat,Kochi,1960
