date,crop,market,production_tons,price_per_ton,farm_count
2021-01-31,banana,Chennai,101,5049.67,16
2021-02-28,banana,Chennai,105,5285.48,18
2021-03-31,banana,Chennai,153,5590.78,10
2021-04-30,banana,Chennai,103,5780.37,21
2021-05-31,banana,Chennai,153,5565.3,17
2021-06-30,banana,Chennai,192,5407.81,20
2021-07-31,banana,Chennai,162,5370.24,28
2021-08-31,banana,Chennai,117,5082.85,26
2021-09-30,banana,Chennai,189,4836.15,17
2021-10-31,banana,Chennai,143,4944.5,12
2021-11-30,banana,Chennai,133,4991.31,12
2021-12-31,banana,Chennai,173,5249.17,10
2022-01-31,banana,Chennai,161,5627.76,14
2022-02-28,banana,Chennai,199,5694.78,19
2022-03-31,banana,Chennai,113,5903.04,16
2022-04-30,banana,Chennai,194,6074.09,18
2022-05-31,banana,Chennai,147,5945.83,16
2022-06-30,banana,Chennai,114,5893.01,18
2022-07-31,banana,Chennai,171,5547.61,17
2022-08-31,banana,Chennai,177,5311.66,21
2022-09-30,banana,Chennai,186,5516.24,11
2022-10-31,banana,Chennai,161,5401.89,10
2022-11-30,banana,Chennai,139,5620.64,25
2022-12-31,banana,Chennai,184,5753.96,14
2023-01-31,banana,Chennai,179,6149.82,12
2023-02-28,banana,Chennai,181,6473.44,21
2023-03-31,banana,Chennai,152,6494.66,17
2023-04-30,banana,Chennai,123,6654.48,12
2023-05-31,banana,Chennai,125,6433.83,10
2023-06-30,banana,Chennai,188,6258.51,12
2023-07-31,banana,Chennai,159,6008.6,14
2023-08-31,banana,Chennai,140,6096.51,24
2023-09-30,banana,Chennai,128,5870.58,23
2023-10-31,banana,Chennai,114,5868.22,12
2023-11-30,banana,Chennai,144,6282.95,10
2023-12-31,banana,Chennai,164,6377.92,14
2021-01-31,banana,Delhi,151,5649.54,15
2021-02-28,banana,Delhi,161,5833.12,20
2021-03-31,banana,Delhi,157,6363.24,25
2021-04-30,banana,Delhi,151,6036.03,25
2021-05-31,banana,Delhi,111,6048.85,10
2021-06-30,banana,Delhi,138,5925.14,18
2021-07-31,banana,Delhi,101,5570.45,15
2021-08-31,banana,Delhi,102,5610.36,25
2021-09-30,banana,Delhi,155,5473.45,12
2021-10-31,banana,Delhi,180,5392.14,29
2021-11-30,banana,Delhi,158,5484.21,13
2021-12-31,banana,Delhi,101,5646.24,28
2022-01-31,banana,Delhi,101,6024.64,12
2022-02-28,banana,Delhi,191,6460.48,28
2022-03-31,banana,Delhi,153,6554.31,29
2022-04-30,banana,Delhi,186,6587.63,16
2022-05-31,banana,Delhi,195,6597.26,29
2022-06-30,banana,Delhi,196,6477.41,18
2022-07-31,banana,Delhi,100,6164.12,10
2022-08-31,banana,Delhi,118,5984.34,17
2022-09-30,banana,Delhi,101,6006.87,16
2022-10-31,banana,Delhi,152,5942.03,27
2022-11-30,banana,Delhi,143,6082.96,17
2022-12-31,banana,Delhi,189,6463.75,10
2023-01-31,banana,Delhi,131,6678.6,20
2023-02-28,banana,Delhi,169,6925.56,27
2023-03-31,banana,Delhi,131,7237.13,19
2023-04-30,banana,Delhi,167,7087.71,12
2023-05-31,banana,Delhi,154,6728.38,16
2023-06-30,banana,Delhi,174,6822.23,25
2023-07-31,banana,Delhi,155,6529.22,25
2023-08-31,banana,Delhi,116,6382.37,29
2023-09-30,banana,Delhi,137,6417.23,26
2023-10-31,banana,Delhi,123,6457.38,11
